Date,Min Temperature (C),Max Temperature (C)
07-30-2020,23.8,30.6
07-31-2020,23.7,31.1
08-01-2020,23.4,30.0
08-02-2020,24.0,31.6
08-03-2020,25.0,31.6
08-04-2020,25.2,33.0
08-05-2020,26.3,33.6
08-06-2020,26.1,34.1
08-07-2020,25.6,32.1
08-08-2020,26.1,33.6
08-09-2020,25.9,29.8
08-10-2020,24.6,28.3
08-11-2020,25.1,30.1
08-12-2020,25.1,29.0
08-13-2020,24.8,27.4
08-14-2020,24.6,30.6
08-15-2020,24.7,32.1
08-16-2020,24.7,30.2
08-17-2020,25.4,29.8
08-18-2020,25.1,30.3
08-19-2020,22.8,26.0
08-20-2020,23.5,29.3
08-21-2020,17.7,28.6
08-22-2020,24.1,31.3
08-23-2020,23.7,32.0
08-24-2020,24.6,30.8
08-25-2020,24.5,31.8
08-26-2020,23.1,32.1
08-27-2020,23.9,31.3
08-28-2020,23.4,30.0
08-29-2020,23.2,32.0
08-30-2020,24.4,32.3
08-31-2020,23.9,30.8
09-01-2020,24.2,32.3
09-02-2020,24.6,32.8
09-03-2020,25.2,31.1
09-04-2020,24.1,31.6
09-05-2020,24.1,34.0
09-06-2020,23.2,30.2
09-07-2020,22.4,33.1
09-08-2020,23.2,32.3
09-09-2020,23.2,32.8
09-10-2020,22.8,32.8
09-11-2020,23.0,32.6
09-12-2020,23.4,31.3
09-13-2020,23.1,30.6
09-14-2020,24.5,31.0
09-15-2020,24.4,32.0
09-16-2020,25.3,31.6
09-17-2020,24.0,32.8
09-18-2020,23.3,32.8
09-19-2020,23.4,32.1
09-20-2020,23.3,33.8
09-21-2020,23.4,35.0
09-22-2020,23.1,32.6
09-23-2020,22.8,30.1
09-24-2020,21.2,30.3
09-25-2020,22.1,31.8
09-26-2020,20.7,32.1
09-27-2020,19.3,30.6
09-28-2020,18.5,31.8
09-29-2020,18.1,31.1
09-30-2020,18.1,31.6
10-01-2020,18.7,32.1
10-02-2020,18.4,32.0
10-03-2020,19.1,33.1
10-04-2020,17.8,32.0
10-05-2020,17.7,32.0
10-06-2020,17.5,33.1
10-07-2020,17.2,32.6
10-08-2020,17.3,32.8
10-09-2020,16.6,32.6
10-10-2020,17.1,32.3
10-11-2020,18.0,33.0
10-12-2020,18.4,32.3
10-13-2020,19.0,31.1
10-14-2020,18.3,31.8
10-15-2020,18.0,32.3
10-16-2020,16.9,31.1
10-17-2020,15.5,31.0
10-18-2020,15.5,31.1
10-19-2020,15.3,31.0
10-20-2020,15.2,30.6
10-21-2020,13.8,31.0
10-22-2020,13.8,30.3
10-23-2020,12.6,30.3
10-24-2020,12.3,30.1
10-25-2020,12.2,29.8
10-26-2020,11.6,29.6
10-27-2020,11.3,28.8
10-28-2020,11.1,29.1
